0.02.973.409 I 
Computing statistics for /mnt/raid0/llm/tmp/expert-routing-skew-glm52-20260717T-production-representative/expert-routing-skew.imatrix.gguf (1002 tensors)
0.02.973.414 I 
 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
0.02.973.414 I =========================================================================================================================================================================
0.02.974.548 I    20	ffn_gate_exps       	  15210.69	  0.0007	     0.1565	  0.01	  0.00	  100.00%	1572864	   20.5210	 99.69%	     10.15%	  0.3246
0.02.974.549 I    19	ffn_gate_exps       	  13358.83	  0.0008	     0.2168	  0.01	  0.00	  100.00%	1572864	   20.5166	 99.67%	      9.17%	  0.4227
0.02.974.551 I    18	ffn_gate_exps       	  11593.56	  0.0007	     0.1677	  0.01	  0.00	  100.00%	1572864	   20.5219	 99.69%	      9.70%	  0.3591
0.02.974.553 I    17	ffn_gate_exps       	   8551.71	  0.0004	     0.1113	  0.01	  0.00	  100.00%	1572864	   20.5140	 99.66%	      9.93%	  0.4359
0.02.974.555 I    16	ffn_gate_exps       	   7314.54	  0.0003	     0.0912	  0.00	  0.00	  100.00%	1572864	   20.5120	 99.65%	     10.29%	  0.5225
0.02.974.556 I    15	ffn_gate_exps       	   6483.47	  0.0000	     0.1201	  0.00	  0.00	  100.00%	1572864	   20.5068	 99.62%	      9.82%	  0.5853
0.02.974.558 I    14	ffn_gate_exps       	   5938.47	  0.0002	     0.0746	  0.00	  0.00	  100.00%	1572864	   20.4975	 99.58%	     10.65%	  0.6247
0.02.974.560 I    13	ffn_gate_exps       	   5219.91	  0.0000	     0.0561	  0.00	  0.00	  100.00%	1572864	   20.4880	 99.53%	     10.51%	  0.5435
0.02.974.562 I    12	ffn_gate_exps       	   3043.88	  0.0000	     0.0487	  0.00	  0.00	  100.00%	1572864	   20.4691	 99.44%	     10.11%	  0.5284
0.02.974.564 I    11	ffn_gate_exps       	   2634.52	  0.0000	     0.0352	  0.00	  0.00	  100.00%	1572864	   20.4801	 99.49%	     10.78%	  0.5764
0.02.974.566 I    10	ffn_gate_exps       	   2350.02	  0.0000	     0.0341	  0.00	  0.00	  100.00%	1572864	   20.4691	 99.44%	      9.90%	  0.0648
0.02.974.569 I     9	ffn_gate_exps       	   2215.57	  0.0000	    13.5879	  0.00	  0.02	  100.00%	1572864	   20.0651	 97.47%	      0.02%	  0.0056
0.02.974.571 I     8	ffn_gate_exps       	   1853.39	  0.0000	    14.8166	  0.00	  0.03	   99.96%	1572864	   19.7813	 96.10%	      0.02%	  0.0638
0.02.974.573 I     7	ffn_gate_exps       	   1350.18	  0.0000	     0.2316	  0.00	  0.00	   99.85%	1572864	   20.4006	 99.10%	      5.43%	  0.5877
0.02.974.575 I     6	ffn_gate_exps       	    739.40	  0.0000	     0.2319	  0.00	  0.00	   99.89%	1572864	   20.3199	 98.71%	      5.17%	  0.6499
0.02.974.576 I     5	ffn_gate_exps       	    399.05	  0.0000	     0.0143	  0.00	  0.00	   99.79%	1572864	   20.2482	 98.36%	      8.96%	  0.6920
0.02.974.578 I     4	ffn_gate_exps       	    336.45	  0.0000	     0.0130	  0.00	  0.00	   99.89%	1572864	   20.1367	 97.82%	      6.71%	  0.5126
0.02.974.580 I     3	ffn_gate_exps       	    191.74	  0.0000	     0.0266	  0.00	  0.00	   99.34%	1572864	   19.5459	 94.95%	      2.76%	  0.0000
0.02.974.581 I    74	ffn_gate_inp        	   2006.02	  0.2412	     2.0158	  0.33	  0.07	  100.00%	  6144	   12.5550	 99.76%	     11.88%	  0.9966
0.02.974.583 I    75	ffn_gate_inp        	   1945.92	  0.1661	     1.4623	  0.32	  0.07	  100.00%	  6144	   12.5541	 99.75%	     12.04%	  0.9954
0.02.974.585 I    73	ffn_gate_inp        	   1924.86	  0.2277	     2.1361	  0.31	  0.07	  100.00%	  6144	   12.5568	 99.78%	     11.21%	  0.9965
0.02.974.587 I    72	ffn_gate_inp        	   1878.86	  0.2306	     1.8823	  0.31	  0.07	  100.00%	  6144	   12.5573	 99.78%	     11.17%	  0.9962
0.02.974.588 I    71	ffn_gate_inp        	   1662.05	  0.1997	     1.4494	  0.27	  0.05	  100.00%	  6144	   12.5646	 99.84%	     11.33%	  0.9967
0.02.974.590 I    76	ffn_gate_inp        	   1622.29	  0.1134	     0.9560	  0.26	  0.05	  100.00%	  6144	   12.5594	 99.80%	     11.85%	  0.9911
0.02.974.592 I    70	ffn_gate_inp        	   1559.28	  0.1888	     0.7028	  0.25	  0.04	  100.00%	  6144	   12.5686	 99.87%	     12.09%	  0.9972
0.02.974.593 I    69	ffn_gate_inp        	   1495.15	  0.1901	     0.8630	  0.24	  0.04	  100.00%	  6144	   12.5682	 99.87%	     12.08%	  0.9983
0.02.974.595 I    68	ffn_gate_inp        	   1423.42	  0.1798	     1.0952	  0.23	  0.04	  100.00%	  6144	   12.5691	 99.87%	     11.26%	  0.9980
0.02.974.597 I    67	ffn_gate_inp        	   1344.89	  0.1741	     0.9234	  0.22	  0.03	  100.00%	  6144	   12.5715	 99.89%	     10.87%	  0.9990
0.02.974.599 I    66	ffn_gate_inp        	   1275.63	  0.1640	     0.9213	  0.21	  0.03	  100.00%	  6144	   12.5717	 99.89%	     10.76%	  0.9989
0.02.974.600 I    65	ffn_gate_inp        	   1184.24	  0.1530	     0.9903	  0.19	  0.03	  100.00%	  6144	   12.5716	 99.89%	     10.77%	  0.9994
0.02.974.602 I    64	ffn_gate_inp        	   1162.38	  0.1488	     0.8641	  0.19	  0.03	  100.00%	  6144	   12.5719	 99.90%	     11.52%	  0.9995
0.02.974.604 I    63	ffn_gate_inp        	   1124.77	  0.1412	     0.7027	  0.18	  0.03	  100.00%	  6144	   12.5721	 99.90%	     11.54%	  0.9995
0.02.974.605 I    62	ffn_gate_inp        	   1074.41	  0.1327	     0.7873	  0.17	  0.03	  100.00%	  6144	   12.5718	 99.90%	     11.25%	  0.9996
0.02.974.607 I    61	ffn_gate_inp        	   1025.35	  0.1256	     0.7269	  0.17	  0.02	  100.00%	  6144	   12.5711	 99.89%	     11.41%	  0.9991
0.02.974.609 I    60	ffn_gate_inp        	   1002.82	  0.1230	     1.0378	  0.16	  0.03	  100.00%	  6144	   12.5707	 99.89%	     10.27%	  0.9992
0.02.974.611 I    59	ffn_gate_inp        	    956.51	  0.1188	     0.6816	  0.16	  0.02	  100.00%	  6144	   12.5712	 99.89%	     11.38%	  0.9994
0.02.974.612 I    58	ffn_gate_inp        	    924.16	  0.1089	     0.6815	  0.15	  0.02	  100.00%	  6144	   12.5706	 99.89%	     11.34%	  0.9990
0.02.974.614 I    77	ffn_gate_inp        	    891.23	  0.0475	     0.4435	  0.15	  0.04	  100.00%	  6144	   12.5453	 99.68%	     11.56%	  0.9716
0.02.974.615 I    57	ffn_gate_inp        	    881.72	  0.1074	     0.5431	  0.14	  0.02	  100.00%	  6144	   12.5701	 99.88%	     11.60%	  0.9993
0.02.974.617 I    56	ffn_gate_inp        	    858.04	  0.1054	     0.5876	  0.14	  0.02	  100.00%	  6144	   12.5704	 99.88%	     11.52%	  0.9994
0.02.974.619 I    55	ffn_gate_inp        	    820.70	  0.0983	     0.6495	  0.13	  0.02	  100.00%	  6144	   12.5691	 99.87%	     11.28%	  0.9990
0.02.974.621 I    54	ffn_gate_inp        	    788.02	  0.0974	     0.7404	  0.13	  0.02	  100.00%	  6144	   12.5701	 99.88%	     11.17%	  0.9992
0.02.974.623 I    53	ffn_gate_inp        	    747.95	  0.0938	     0.6963	  0.12	  0.02	  100.00%	  6144	   12.5707	 99.89%	     11.02%	  0.9991
0.02.974.624 I    52	ffn_gate_inp        	    734.69	  0.0930	     0.6489	  0.12	  0.02	  100.00%	  6144	   12.5711	 99.89%	     11.39%	  0.9993
0.02.974.626 I    51	ffn_gate_inp        	    680.75	  0.0840	     0.6279	  0.11	  0.02	  100.00%	  6144	   12.5705	 99.88%	     11.51%	  0.9988
0.02.974.628 I    50	ffn_gate_inp        	    660.98	  0.0821	     0.5594	  0.11	  0.02	  100.00%	  6144	   12.5696	 99.88%	     11.75%	  0.9987
0.02.974.629 I    49	ffn_gate_inp        	    616.99	  0.0761	     0.5980	  0.10	  0.02	  100.00%	  6144	   12.5687	 99.87%	     11.36%	  0.9980
0.02.974.631 I    48	ffn_gate_inp        	    574.36	  0.0710	     0.4589	  0.09	  0.01	  100.00%	  6144	   12.5701	 99.88%	     11.44%	  0.9984
0.02.974.633 I    47	ffn_gate_inp        	    569.08	  0.0694	     0.4776	  0.09	  0.01	  100.00%	  6144	   12.5705	 99.89%	     11.23%	  0.9990
0.02.974.634 I    46	ffn_gate_inp        	    541.95	  0.0678	     0.4970	  0.09	  0.01	  100.00%	  6144	   12.5700	 99.88%	     11.65%	  0.9988
0.02.974.636 I    45	ffn_gate_inp        	    513.06	  0.0646	     0.4256	  0.08	  0.01	  100.00%	  6144	   12.5701	 99.88%	     11.80%	  0.9989
0.02.974.638 I    44	ffn_gate_inp        	    470.97	  0.0585	     0.4562	  0.08	  0.01	  100.00%	  6144	   12.5681	 99.87%	     11.64%	  0.9980
0.02.974.639 I    43	ffn_gate_inp        	    456.50	  0.0570	     0.5708	  0.07	  0.01	  100.00%	  6144	   12.5658	 99.85%	     11.20%	  0.9981
0.02.974.641 I    42	ffn_gate_inp        	    422.62	  0.0520	     0.6052	  0.07	  0.01	  100.00%	  6144	   12.5648	 99.84%	     10.58%	  0.9983
0.02.974.642 I    41	ffn_gate_inp        	    400.75	  0.0489	     0.5147	  0.07	  0.01	  100.00%	  6144	   12.5651	 99.84%	     10.82%	  0.9976
0.02.974.644 I    40	ffn_gate_inp        	    378.99	  0.0465	     0.4201	  0.06	  0.01	  100.00%	  6144	   12.5653	 99.84%	     10.94%	  0.9963
0.02.974.646 I    39	ffn_gate_inp        	    361.42	  0.0448	     0.3276	  0.06	  0.01	  100.00%	  6144	   12.5693	 99.88%	     10.90%	  0.9982
0.02.974.648 I    38	ffn_gate_inp        	    344.08	  0.0421	     0.3794	  0.06	  0.01	  100.00%	  6144	   12.5683	 99.87%	     10.51%	  0.9980
0.02.974.649 I    37	ffn_gate_inp        	    314.13	  0.0387	     0.4275	  0.05	  0.01	  100.00%	  6144	   12.5688	 99.87%	      9.57%	  0.9979
0.02.974.651 I    36	ffn_gate_inp        	    299.99	  0.0358	     0.2916	  0.05	  0.01	  100.00%	  6144	   12.5685	 99.87%	     11.10%	  0.9976
0.02.974.653 I    35	ffn_gate_inp        	    281.19	  0.0349	     0.3079	  0.05	  0.01	  100.00%	  6144	   12.5692	 99.87%	     10.63%	  0.9981
0.02.974.655 I    34	ffn_gate_inp        	    262.33	  0.0319	     0.2363	  0.04	  0.01	  100.00%	  6144	   12.5683	 99.87%	     10.82%	  0.9972
0.02.974.656 I    33	ffn_gate_inp        	    250.16	  0.0278	     0.2141	  0.04	  0.01	  100.00%	  6144	   12.5682	 99.87%	     11.00%	  0.9972
0.02.974.658 I    32	ffn_gate_inp        	    218.93	  0.0259	     0.1621	  0.04	  0.01	  100.00%	  6144	   12.5674	 99.86%	     11.28%	  0.9969
0.02.974.659 I    31	ffn_gate_inp        	    202.37	  0.0249	     0.1389	  0.03	  0.01	  100.00%	  6144	   12.5684	 99.87%	     11.47%	  0.9969
0.02.974.661 I    30	ffn_gate_inp        	    171.25	  0.0183	     0.1224	  0.03	  0.00	  100.00%	  6144	   12.5686	 99.87%	     11.44%	  0.9971
0.02.974.663 I    29	ffn_gate_inp        	    152.12	  0.0185	     0.0802	  0.02	  0.00	  100.00%	  6144	   12.5683	 99.87%	     11.60%	  0.9970
0.02.974.664 I    28	ffn_gate_inp        	    137.91	  0.0145	     0.0762	  0.02	  0.00	  100.00%	  6144	   12.5681	 99.87%	     11.69%	  0.9976
0.02.974.666 I    27	ffn_gate_inp        	    122.36	  0.0132	     0.0847	  0.02	  0.00	  100.00%	  6144	   12.5667	 99.85%	     11.44%	  0.9971
0.02.974.669 I    26	ffn_gate_inp        	    103.13	  0.0097	     0.0586	  0.02	  0.00	  100.00%	  6144	   12.5658	 99.85%	     12.11%	  0.9974
0.02.974.671 I    25	ffn_gate_inp        	     96.26	  0.0084	     0.0586	  0.02	  0.00	  100.00%	  6144	   12.5659	 99.85%	     11.54%	  0.9973
0.02.974.673 I    24	ffn_gate_inp        	     89.34	  0.0068	     0.0412	  0.01	  0.00	  100.00%	  6144	   12.5658	 99.85%	     11.88%	  0.9972
0.02.974.675 I    23	ffn_gate_inp        	     81.49	  0.0058	     0.0482	  0.01	  0.00	  100.00%	  6144	   12.5633	 99.83%	     11.98%	  0.9947
0.02.974.677 I    22	ffn_gate_inp        	     76.63	  0.0068	     0.0582	  0.01	  0.00	  100.00%	  6144	   12.5601	 99.80%	     11.36%	  0.9939
0.02.974.678 I    21	ffn_gate_inp        	     71.97	  0.0034	     0.0528	  0.01	  0.00	  100.00%	  6144	   12.5582	 99.79%	     11.57%	  0.9947
0.02.974.680 I    20	ffn_gate_inp        	     61.22	  0.0040	     0.0383	  0.01	  0.00	  100.00%	  6144	   12.5556	 99.77%	     11.30%	  0.9952
0.02.974.682 I    19	ffn_gate_inp        	     53.24	  0.0031	     0.0323	  0.01	  0.00	  100.00%	  6144	   12.5580	 99.79%	     11.41%	  0.9958
0.02.974.683 I    18	ffn_gate_inp        	     46.51	  0.0013	     0.0206	  0.01	  0.00	  100.00%	  6144	   12.5598	 99.80%	     11.56%	  0.9929
0.02.974.685 I    17	ffn_gate_inp        	     34.38	  0.0008	     0.0216	  0.01	  0.00	  100.00%	  6144	   12.5547	 99.76%	     11.13%	  0.9941
0.02.974.687 I    16	ffn_gate_inp        	     29.31	  0.0006	     0.0159	  0.00	  0.00	  100.00%	  6144	   12.5549	 99.76%	     11.41%	  0.9942
0.02.974.689 I    15	ffn_gate_inp        	     25.87	  0.0000	     0.0190	  0.00	  0.00	  100.00%	  6144	   12.5543	 99.76%	     11.34%	  0.9920
0.02.974.691 I    14	ffn_gate_inp        	     23.75	  0.0003	     0.0143	  0.00	  0.00	  100.00%	  6144	   12.5507	 99.73%	     11.43%	  0.9916
0.02.974.692 I    13	ffn_gate_inp        	     20.89	  0.0000	     0.0141	  0.00	  0.00	  100.00%	  6144	   12.5391	 99.64%	     11.23%	  0.9811
0.02.974.694 I    12	ffn_gate_inp        	     12.23	  0.0000	     0.0091	  0.00	  0.00	  100.00%	  6144	   12.5323	 99.58%	     11.08%	  0.9840
0.02.974.696 I    11	ffn_gate_inp        	     10.56	  0.0000	     0.0071	  0.00	  0.00	  100.00%	  6144	   12.5316	 99.58%	     11.77%	  0.9837
0.02.974.697 I    10	ffn_gate_inp        	      9.40	  0.0000	     0.0118	  0.00	  0.00	  100.00%	  6144	   12.5261	 99.53%	     10.66%	  0.3210
0.02.974.699 I     9	ffn_gate_inp        	      8.80	  0.0001	     0.3664	  0.00	  0.00	  100.00%	  6144	   12.2415	 97.27%	      0.07%	  0.1548
0.02.974.700 I     8	ffn_gate_inp        	      7.43	  0.0000	     0.4726	  0.00	  0.01	   99.97%	  6144	   11.9972	 95.33%	      0.08%	  0.3322
0.02.974.702 I     7	ffn_gate_inp        	      5.31	  0.0000	     0.0123	  0.00	  0.00	   99.85%	  6144	   12.4582	 98.99%	      7.24%	  0.8993
0.02.974.704 I     6	ffn_gate_inp        	      2.88	  0.0000	     0.0087	  0.00	  0.00	   99.89%	  6144	   12.3804	 98.37%	      7.47%	  0.8963
0.02.974.706 I     5	ffn_gate_inp        	      1.55	  0.0000	     0.0039	  0.00	  0.00	   99.82%	  6144	   12.3046	 97.77%	      8.95%	  0.8766
0.02.974.707 I     4	ffn_gate_inp        	      1.31	  0.0000	     0.0064	  0.00	  0.00	   99.92%	  6144	   12.2018	 96.96%	      6.74%	  0.6689
0.02.974.709 I     3	ffn_gate_inp        	      0.74	  0.0000	     0.0153	  0.00	  0.00	   99.84%	  6144	   11.6486	 92.56%	      2.91%	  0.0000
0.02.974.711 I    74	ffn_gate_shexp      	   2006.02	  0.2412	     2.0158	  0.33	  0.07	  100.00%	  6144	   12.5550	 99.76%	     11.88%	  0.9966
0.02.974.712 I    75	ffn_gate_shexp      	   1945.92	  0.1661	     1.4623	  0.32	  0.07	  100.00%	  6144	   12.5541	 99.75%	     12.04%	  0.9954
0.02.974.714 I    73	ffn_gate_shexp      	   1924.86	  0.2277	     2.1361	  0.31	  0.07	  100.00%	  6144	   12.5568	 99.78%	     11.21%	  0.9965
0.02.974.716 I    72	ffn_gate_shexp      	   1878.86	  0.2306	     1.8823	  0.31	  0.07	  100.00%	  6144	   12.5573	 99.78%	     11.17%	  0.9962
0.02.974.718 I    71	ffn_gate_shexp      	   1662.05	  0.1997	     1.4494	  0.27	  0.05	  100.00%	  6144	   12.5646	 99.84%	     11.33%	  0.9967
0.02.974.719 I    76	ffn_gate_shexp      	   1622.29	  0.1134	     0.9560	  0.26	  0.05	  100.00%	  6144	   12.5594	 99.80%	     11.85%	  0.9911
0.02.974.721 I    70	ffn_gate_shexp      	   1559.28	  0.1888	     0.7028	  0.25	  0.04	  100.00%	  6144	   12.5686	 99.87%	     12.09%	  0.9972
0.02.974.723 I    69	ffn_gate_shexp      	   1495.15	  0.1901	     0.8630	  0.24	  0.04	  100.00%	  6144	   12.5682	 99.87%	     12.08%	  0.9983
0.02.974.724 I    68	ffn_gate_shexp      	   1423.42	  0.1798	     1.0952	  0.23	  0.04	  100.00%	  6144	   12.5691	 99.87%	     11.26%	  0.9980
0.02.974.726 I    67	ffn_gate_shexp      	   1344.89	  0.1741	     0.9234	  0.22	  0.03	  100.00%	  6144	   12.5715	 99.89%	     10.87%	  0.9990
0.02.974.727 I    66	ffn_gate_shexp      	   1275.63	  0.1640	     0.9213	  0.21	  0.03	  100.00%	  6144	   12.5717	 99.89%	     10.76%	  0.9989
0.02.974.729 I    65	ffn_gate_shexp      	   1184.24	  0.1530	     0.9903	  0.19	  0.03	  100.00%	  6144	   12.5716	 99.89%	     10.77%	  0.9994
0.02.974.731 I    64	ffn_gate_shexp      	   1162.38	  0.1488	     0.8641	  0.19	  0.03	  100.00%	  6144	   12.5719	 99.90%	     11.52%	  0.9995
0.02.974.732 I    63	ffn_gate_shexp      	   1124.77	  0.1412	     0.7027	  0.18	  0.03	  100.00%	  6144	   12.5721	 99.90%	     11.54%	  0.9995
0.02.974.734 I    62	ffn_gate_shexp      	   1074.41	  0.1327	     0.7873	  0.17	  0.03	  100.00%	  6144	   12.5718	 99.90%	     11.25%	  0.9996
0.02.974.736 I    61	ffn_gate_shexp      	   1025.35	  0.1256	     0.7269	  0.17	  0.02	  100.00%	  6144	   12.5711	 99.89%	     11.41%	  0.9991
0.02.974.738 I    60	ffn_gate_shexp      	   1002.82	  0.1230	     1.0378	  0.16	  0.03	  100.00%	  6144	   12.5707	 99.89%	     10.27%	  0.9992
0.02.974.739 I    59	ffn_gate_shexp      	    956.51	  0.1188	     0.6816	  0.16	  0.02	  100.00%	  6144	   12.5712	 99.89%	     11.38%	  0.9994
0.02.974.741 I    58	ffn_gate_shexp      	    924.16	  0.1089	     0.6815	  0.15	  0.02	  100.00%	  6144	   12.5706	 99.89%	     11.34%	  0.9990
0.02.974.742 I    77	ffn_gate_shexp      	    891.23	  0.0475	     0.4435	  0.15	  0.04	  100.00%	  6144	   12.5453	 99.68%	     11.56%	  0.9716
0.02.974.744 I    57	ffn_gate_shexp      	    881.72	  0.1074	     0.5431	  0.14	  0.02	  100.00%	  6144	   12.5701	 99.88%	     11.60%	  0.9993
0.02.974.745 I    56	ffn_gate_shexp      	    858.04	  0.1054	     0.5876	  0.14	  0.02	  100.00%	  6144	   12.5704	 99.88%	     11.52%	  0.9994
0.02.974.747 I    55	ffn_gate_shexp      	    820.70	  0.0983	     0.6495	  0.13	  0.02	  100.00%	  6144	   12.5691	 99.87%	     11.28%	  0.9990
0.02.974.749 I    54	ffn_gate_shexp      	    788.02	  0.0974	     0.7404	  0.13	  0.02	  100.00%	  6144	   12.5701	 99.88%	     11.17%	  0.9992
0.02.974.750 I    53	ffn_gate_shexp      	    747.95	  0.0938	     0.6963	  0.12	  0.02	  100.00%	  6144	   12.5707	 99.89%	     11.02%	  0.9991
0.02.974.752 I    52	ffn_gate_shexp      	    734.69	  0.0930	     0.6489	  0.12	  0.02	  100.00%	  6144	   12.5711	 99.89%	     11.39%	  0.9993
0.02.974.754 I    51	ffn_gate_shexp      	    680.75	  0.0840	     0.6279	  0.11	  0.02	  100.00%	  6144	   12.5705	 99.88%	     11.51%	  0.9988
0.02.974.756 I    50	ffn_gate_shexp      	    660.98	  0.0821	     0.5594	  0.11	  0.02	  100.00%	  6144	   12.5696	 99.88%	     11.75%	  0.9987
0.02.974.758 I    49	ffn_gate_shexp      	    616.99	  0.0761	     0.5980	  0.10	  0.02	  100.00%	  6144	   12.5687	 99.87%	     11.36%	  0.9980
0.02.974.760 I    48	ffn_gate_shexp      	    574.36	  0.0710	     0.4589	  0.09	  0.01	  100.00%	  6144	   12.5701	 99.88%	     11.44%	  0.9984
0.02.974.762 I    47	ffn_gate_shexp      	    569.08	  0.0694	     0.4776	  0.09	  0.01	  100.00%	  6144	   12.5705	 99.89%	     11.23%	  0.9990
0.02.974.764 I    46	ffn_gate_shexp      	    541.95	  0.0678	     0.4970	  0.09	  0.01	  100.00%	  6144	   12.5700	 99.88%	     11.65%	  0.9988
0.02.974.766 I    45	ffn_gate_shexp      	    513.06	  0.0646	     0.4256	  0.08	  0.01	  100.00%	  6144	   12.5701	 99.88%	     11.80%	  0.9989
0.02.974.769 I    44	ffn_gate_shexp      	    470.97	  0.0585	     0.4562	  0.08	  0.01	  100.00%	  6144	   12.5681	 99.87%	     11.64%	  0.9980
0.02.974.770 I    43	ffn_gate_shexp      	    456.50	  0.0570	     0.5708	  0.07	  0.01	  100.00%	  6144	   12.5658	 99.85%	     11.20%	  0.9981
0.02.974.772 I    42	ffn_gate_shexp      	    422.62	  0.0520	     0.6052	  0.07	  0.01	  100.00%	  6144	   12.5648	 99.84%	     10.58%	  0.9983
0.02.974.774 I    41	ffn_gate_shexp      	    400.75	  0.0489	     0.5147	  0.07	  0.01	  100.00%	  6144	   12.5651	 99.84%	     10.82%	  0.9976
0.02.974.775 I    40	ffn_gate_shexp      	    378.99	  0.0465	     0.4201	  0.06	  0.01	  100.00%	  6144	   12.5653	 99.84%	     10.94%	  0.9963
0.02.974.777 I    39	ffn_gate_shexp      	    361.42	  0.0448	     0.3276	  0.06	  0.01	  100.00%	  6144	   12.5693	 99.88%	     10.90%	  0.9982
0.02.974.778 I    38	ffn_gate_shexp      	    344.08	  0.0421	     0.3794	  0.06	  0.01	  100.00%	  6144	   12.5683	 99.87%	     10.51%	  0.9980
0.02.974.780 I    37	ffn_gate_shexp      	    314.13	  0.0387	     0.4275	  0.05	  0.01	  100.00%	  6144	   12.5688	 99.87%	      9.57%	  0.9979
0.02.974.781 I    36	ffn_gate_shexp      	    299.99	  0.0358	     0.2916	  0.05	  0.01	  100.00%	  6144	   12.5685	 99.87%	     11.10%	  0.9976
0.02.974.783 I    35	ffn_gate_shexp      	    281.19	  0.0349	     0.3079	  0.05	  0.01	  100.00%	  6144	   12.5692	 99.87%	     10.63%	  0.9981
0.02.974.785 I    34	ffn_gate_shexp      	    262.33	  0.0319	     0.2363	  0.04	  0.01	  100.00%	  6144	   12.5683	 99.87%	     10.82%	  0.9972
0.02.974.786 I    33	ffn_gate_shexp      	    250.16	  0.0278	     0.2141	  0.04	  0.01	  100.00%	  6144	   12.5682	 99.87%	     11.00%	  0.9972
0.02.974.788 I    32	ffn_gate_shexp      	    218.93	  0.0259	     0.1621	  0.04	  0.01	  100.00%	  6144	   12.5674	 99.86%	     11.28%	  0.9969
0.02.974.790 I    31	ffn_gate_shexp      	    202.37	  0.0249	     0.1389	  0.03	  0.01	  100.00%	  6144	   12.5684	 99.87%	     11.47%	  0.9969
0.02.974.792 I    30	ffn_gate_shexp      	    171.25	  0.0183	     0.1224	  0.03	  0.00	  100.00%	  6144	   12.5686	 99.87%	     11.44%	  0.9971
0.02.974.793 I    29	ffn_gate_shexp      	    152.12	  0.0185	     0.0802	  0.02	  0.00	  100.00%	  6144	   12.5683	 99.87%	     11.60%	  0.9970
0.02.974.795 I    28	ffn_gate_shexp      	    137.91	  0.0145	     0.0762	  0.02	  0.00	  100.00%	  6144	   12.5681	 99.87%	     11.69%	  0.9976
0.02.974.797 I    27	ffn_gate_shexp      	    122.36	  0.0132	     0.0847	  0.02	  0.00	  100.00%	  6144	   12.5667	 99.85%	     11.44%	  0.9971
0.02.974.799 I    26	ffn_gate_shexp      	    103.13	  0.0097	     0.0586	  0.02	  0.00	  100.00%	  6144	   12.5658	 99.85%	     12.11%	  0.9974
0.02.974.800 I    25	ffn_gate_shexp      	     96.26	  0.0084	     0.0586	  0.02	  0.00	  100.00%	  6144	   12.5659	 99.85%	     11.54%	  0.9973
0.02.974.802 I    24	ffn_gate_shexp      	     89.34	  0.0068	     0.0412	  0.01	  0.00	  100.00%	  6144	   12.5658	 99.85%	     11.88%	  0.9972
0.02.974.804 I    23	ffn_gate_shexp      	     81.49	  0.0058	     0.0482	  0.01	  0.00	  100.00%	  6144	   12.5633	 99.83%	     11.98%	  0.9947
0.02.974.805 I    22	ffn_gate_shexp      	     76.63	  0.0068	     0.0582	  0.01	  0.00	  100.00%	  6144	   12.5601	 99.80%	     11.36%	  0.9939
0.02.974.807 I    21	ffn_gate_shexp      	     71.97	  0.0034	     0.0528	  0.01	  0.00	  100.00%	  6144	   12.5582	 99.79%	     11.57%	  0.9947
0.02.974.809 I    20	ffn_gate_shexp      	     61.22	  0.0040	     0.0383	  0.01	  0.00	  100.00%	  6144	   12.5556	 99.77%	     11.30%	  0.9952
0.02.974.810 I    19	ffn_gate_shexp      	     53.24	  0.0031	     0.0323	  0.01	  0.00	  100.00%	  6144	   12.5580	 99.79%	     11.41%	  0.9958
0.02.974.812 I    18	ffn_gate_shexp      	     46.51	  0.0013	     0.0206	  0.01	  0.00	  100.00%	  6144	   12.5598	 99.80%	     11.56%	  0.9929
0.02.974.814 I    17	ffn_gate_shexp      	     34.38	  0.0008	     0.0216	  0.01	  0.00	  100.00%	  6144	   12.5547	 99.76%	     11.13%	  0.9941
0.02.974.815 I    16	ffn_gate_shexp      	     29.31	  0.0006	     0.0159	  0.00	  0.00	  100.00%	  6144	   12.5549	 99.76%	     11.41%	  0.9942
0.02.974.817 I    15	ffn_gate_shexp      	     25.87	  0.0000	     0.0190	  0.00	  0.00	  100.00%	  6144	   12.5543	 99.76%	     11.34%	  0.9920
0.02.974.819 I    14	ffn_gate_shexp      	     23.75	  0.0003	     0.0143	  0.00	  0.00	  100.00%	  6144	   12.5507	 99.73%	     11.43%	  0.9916
0.02.974.820 I    13	ffn_gate_shexp      	     20.89	  0.0000	     0.0141	  0.00	  0.00	  100.00%	  6144	   12.5391	 99.64%	     11.23%	  0.9811
0.02.974.827 I    12	ffn_gate_shexp      	     12.23	  0.0000	     0.0091	  0.00	  0.00	  100.00%	  6144	   12.5323	 99.58%	     11.08%	  0.9840
0.02.974.828 I    11	ffn_gate_shexp      	     10.56	  0.0000	     0.0071	  0.00	  0.00	  100.00%	  6144	   12.5316	 99.58%	     11.77%	  0.9837
0.02.974.830 I    10	ffn_gate_shexp      	      9.40	  0.0000	     0.0118	  0.00	  0.00	  100.00%	  6144	   12.5261	 99.53%	     10.66%	  0.3210
0.02.974.832 I     9	ffn_gate_shexp      	      8.80	  0.0001	     0.3664	  0.00	  0.00	  100.00%	  6144	   12.2415	 97.27%	      0.07%	  0.1548
0.02.974.833 I     8	ffn_gate_shexp      	      7.43	  0.0000	     0.4726	  0.00	  0.01	   99.97%	  6144	   11.9972	 95.33%	      0.08%	  0.3322
